Banks,algorithm_family,dev_backend,frequency_component,operating_frequency_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
8,OLA,RPi_clfft,GPU,800.0,509.39191456942285,137661.19744470328,4.061538461538461,2.5342702742385055,287.3847023197847,0.02333192444323546
8,OLA,RPi_clfft,GPU,850.0,523.7432945948407,142391.62649227676,4.085897435897436,0.6958515903831785,428.66606196216145,0.011322770341445928
8,OLA,RPi_clfft,GPU,900.0,536.9489077973848,147813.35121336055,4.137179487179487,1.875817237956248,468.3443340053371,0.013249241725912029
8,OLA,RPi_clfft,GPU,960.0,551.3419758721454,153369.13622662658,4.180769230769231,5.005749459748949,579.1978130858679,0.02320477404461317
8,OLA,RPi_fftw,CPU,1600.0,1015.9078679271315,286247.3450687821,4.234615384615385,5.357444260120378,994.8639683255997,0.015951108733328726
8,OLA,RPi_fftw,CPU,1700.0,1049.7498898099348,302497.0312084066,4.3307692307692305,5.9948872885034366,1086.2191761302709,0.022294425763368333
8,OLA,RPi_fftw,CPU,1800.0,1089.2504618302148,319092.122873629,4.403098290598291,12.487601526311792,811.6300909879121,0.05277695594363423
8,OLA,RPi_fftw,CPU,1900.0,1136.9358032661166,334552.177452429,4.423076923076923,19.725019358214496,2754.412089774721,0.062255438677841134
8,OLA,RPi_fftw,CPU,2000.0,1175.664095120084,349433.84582006215,4.46741452991453,17.1191879579677,1897.7886954863943,0.046875442871748066
8,OLA,RPi_fftw,CPU,2100.0,1207.0361416588282,365007.4204832709,4.544871794871795,9.232388961555307,1908.4086910658627,0.038742563070786565
8,OLA,RPi_fftw,CPU,2200.0,1274.3119956653377,381102.9787021519,4.494871794871795,14.368400302724792,1667.6097419646965,0.032876554717588824
8,OLA,RPi_fftw,CPU,2300.0,1300.4765797601756,395484.5942022763,4.57051282051282,12.264995882064246,2183.55674813385,0.025934221145621036
8,OLA,RPi_fftw,CPU,2400.0,1316.0782135947363,408044.88003836054,4.6596153846153845,4.505072196939567,2149.7563227997002,0.02525022701872295
8,OLA,nano_clfft,GPU,306.0,666.0288134684404,431078.15468939877,9.72719298245614,3.3003911652671367,1687.6889304109256,0.027533241891374554
8,OLA,nano_clfft,GPU,408.0,718.2721214768873,469922.98455896205,9.832456140350878,3.4052484331136808,1581.735807129827,0.021933333052677754
8,OLA,nano_clfft,GPU,510.0,766.2507144618445,516717.70242257277,10.134615384615385,3.2243917503394655,1132.9364559534674,0.02468739467058617
8,OLA,nano_clfft,GPU,612.0,782.6851969151654,535950.243798103,10.29102564102564,1.6209321046226102,1394.475632264082,0.014114214302074555
8,OLA,nano_clfft,GPU,714.0,791.9507687759051,548780.9226386417,10.414102564102564,4.7553554732018855,3460.546759803192,0.013249241725909649
